folder,topic_0,topic_1,topic_2
0,0.13937674,0.576309,0.28431424
1,0.38003013,0.32609525,0.29387468
3,0.013049869,0.042234384,0.94471586
4,0.8278421,0.063834384,0.108323455
5,0.096350886,0.5744554,0.32919377
6,0.15664265,0.49527684,0.34808055
7,0.052893102,0.88989526,0.057211608
8,0.007448066,0.9860009,0.0065509877
10,0.9216081,0.018671565,0.059720438
11,0.25882286,0.038124297,0.7030529
12,0.854823,0.04034386,0.10483309
13,0.075315975,0.6619587,0.26272532
14,0.5262456,0.30172262,0.17203182
15,0.70582694,0.13271894,0.16145414
16,0.43091363,0.40653747,0.16254891
17,0.32252148,0.27419883,0.40327963
18,0.084185705,0.17464387,0.7411704
19,0.7436906,0.08138795,0.1749215
20,0.008212194,0.96151465,0.03027318
21,0.33119124,0.34032607,0.32848272
22,0.97755444,0.0018821761,0.020563396
23,0.3015601,0.4898436,0.20859627
24,0.36691472,0.3687322,0.2643531
25,0.006829387,0.99011487,0.003055763
26,0.071301565,0.46673426,0.46196422
27,0.96278155,0.010990304,0.02622812
28,0.7838863,0.08250415,0.13360953
29,0.7740948,0.13965735,0.08624783
30,0.028551001,0.9389094,0.032539587
31,0.042342268,0.025486726,0.93217105
32,0.37782902,0.11273797,0.50943303
33,0.062469326,0.015919317,0.9216113
34,0.06764524,0.6024561,0.32989872
35,0.92841184,0.02539568,0.046192475
36,0.388738,0.15050487,0.46075717
37,0.28453594,0.43577996,0.27968413
38,0.22385927,0.07580559,0.70033514
39,0.23150508,0.47899294,0.28950197
40,0.16867498,0.76333493,0.06799014
