folder,topic_0,topic_1,topic_2,topic_3
0,0.109589994,0.7012955,0.14529377,0.04382083
1,0.024931809,0.024898378,0.8973177,0.052852117
3,0.5578244,0.03285434,0.32664824,0.082673036
4,0.90118617,0.030260256,0.057531066,0.011022427
5,0.026034003,0.8198215,0.109791204,0.044353284
6,0.18792804,0.05244977,0.28532833,0.47429386
7,0.33538225,0.03239612,0.3931126,0.23910907
8,0.09847299,0.02637605,0.16957209,0.70557886
10,0.7032207,0.010687868,0.070089534,0.21600184
11,0.27658853,0.17028609,0.42659092,0.12653449
12,0.43874446,0.042721618,0.1429117,0.3756222
13,0.06332292,0.5971689,0.16969322,0.1698149
14,0.045931112,0.75326264,0.13895224,0.061853994
15,0.6006827,0.018501174,0.32113877,0.059677403
16,0.050915577,0.6982028,0.21533164,0.035550006
17,0.2816492,0.06998213,0.29412583,0.35424283
18,0.04719534,0.17321178,0.70367205,0.075920835
19,0.40310922,0.3119872,0.19643603,0.0884676
20,0.07474375,0.66939896,0.06745728,0.1884
21,0.078310005,0.11372416,0.3214658,0.48649997
22,0.039689343,0.021885974,0.8431233,0.09530132
23,0.027451377,0.22678654,0.73525685,0.010505205
24,0.2136515,0.17470074,0.09838124,0.51326656
25,0.03609217,0.18637979,0.53913385,0.23839429
26,0.37251619,0.07693987,0.4824234,0.068120584
27,0.029870808,0.028244838,0.76691705,0.1749673
28,0.71549904,0.07312798,0.1434268,0.06794615
29,0.59388524,0.05659188,0.26509494,0.08442789
30,0.19057128,0.017874133,0.788033,0.0035215984
31,0.3398877,0.44964886,0.18181334,0.028650021
32,0.027089477,0.017121146,0.95233727,0.0034521017
33,0.21702003,0.05229032,0.10816984,0.62251985
34,0.103681944,0.1325133,0.55877525,0.20502953
35,0.563049,0.047531087,0.3690954,0.020324418
36,0.5312077,0.14488417,0.10154984,0.2223583
37,0.18645236,0.6012853,0.15773346,0.05452899
38,0.029532677,0.9019531,0.052242585,0.016271584
39,0.11177559,0.7237966,0.12123527,0.043192536
40,0.20968857,0.10653893,0.16580427,0.51796824
