folder,topic_0,topic_1,topic_2,topic_3,topic_4
0,0.26282492,0.3463654,0.15698424,0.1182224,0.11560307
1,0.035902515,0.27803606,0.09810062,0.41542035,0.17254046
3,0.15123302,0.1818766,0.18622792,0.4419346,0.038727902
4,0.09105085,0.5430394,0.05371821,0.15096653,0.16122505
5,0.02505282,0.63673544,0.100222185,0.11911724,0.118872285
6,0.23329365,0.040161736,0.61289173,0.08620237,0.027450437
7,0.7293307,0.14950602,0.0187665,0.02479338,0.07760337
8,0.8912118,0.012289033,0.021219412,0.058556914,0.016722817
10,0.40247545,0.19106144,0.09243192,0.18067922,0.13335197
11,0.28799614,0.058160037,0.40230498,0.11926744,0.13227145
12,0.0034945267,0.0011341894,0.0067074047,0.002764461,0.98589945
13,0.26318923,0.14717717,0.16734043,0.2833256,0.13896757
14,0.13069347,0.007653265,0.13761458,0.033906024,0.6901326
15,0.3350196,0.13900514,0.4546589,0.054412365,0.016904036
16,0.48318714,0.006569922,0.39634952,0.012836764,0.101056695
17,0.21903555,0.07502981,0.08763816,0.17477009,0.44352636
18,0.022791142,0.36520368,0.12717655,0.3227739,0.16205475
19,0.035867676,0.116399005,0.20008759,0.481232,0.16641375
20,0.02402615,0.4354074,0.061716497,0.37544137,0.10340856
21,0.24648225,0.24765448,0.21915326,0.19067642,0.09603355
22,0.12803242,0.4792847,0.030186374,0.11484829,0.2476482
23,0.05150646,0.43036765,0.14097106,0.24578547,0.13136931
24,0.03142079,0.28315204,0.038223248,0.3706873,0.2765166
25,0.14631924,0.023986384,0.1496073,0.069484845,0.6106022
26,0.22229853,0.04705934,0.36838418,0.30314267,0.05911528
27,0.71211314,0.04689445,0.011341134,0.22407904,0.005572205
28,0.2492859,0.14037955,0.4895206,0.08789341,0.032920513
29,0.061283786,0.56454295,0.027213752,0.16622713,0.18073237
30,0.42851305,0.021506976,0.42624435,0.032196958,0.091538645
31,0.056757767,0.026335407,0.08242206,0.02676529,0.8077195
32,0.27040055,0.048504975,0.2860433,0.38886118,0.006190039
33,0.011472433,0.25796837,0.01670272,0.33275682,0.3810997
34,0.026994934,0.03360722,0.010318427,0.08584471,0.84323466
35,0.17267184,0.46039867,0.14763938,0.17455696,0.044733167
36,0.06106343,0.18665233,0.18729322,0.44339085,0.121600136
37,0.21438348,0.24744053,0.0521278,0.055178057,0.43087015
38,0.07751237,0.078354195,0.1750783,0.040276535,0.6287786
39,0.16425079,0.042470943,0.15173018,0.037177872,0.60437024
40,0.55674565,0.06395272,0.2285665,0.063474886,0.08726025
