folder,topic_0,topic_1,topic_2,topic_3,topic_4,topic_5
0,0.0273383,0.032379117,0.6516354,0.053661656,0.17408744,0.060898114
1,0.16268678,0.13056672,0.035135876,0.31628764,0.19707626,0.15824674
3,0.0643107,0.09309958,0.11814157,0.2122082,0.36335033,0.14888966
4,0.033506967,0.70810556,0.013346192,0.037374634,0.06674376,0.14092293
5,0.12218615,0.06926779,0.5472397,0.07909985,0.107558966,0.07464747
6,0.44081336,0.16591103,0.08616131,0.1499749,0.092818245,0.0643212
7,0.13132754,0.3586699,0.011187176,0.21936707,0.09567467,0.18377367
8,0.41636747,0.1405857,0.12162547,0.19625643,0.07577105,0.049393862
10,0.32479727,0.12891793,0.15562554,0.22867954,0.091996,0.0699837
11,0.032814763,0.48593545,0.053939022,0.091168866,0.08809604,0.24804588
12,0.03127421,0.033780262,0.32539713,0.20641819,0.16577193,0.23735829
13,0.010869627,0.0789545,0.47515243,0.06117835,0.13083532,0.24300976
14,0.19880374,0.112388074,0.16642776,0.27853385,0.065775625,0.17807099
15,0.075085774,0.5633714,0.02188671,0.09408164,0.073762365,0.17181213
16,0.21696734,0.057294853,0.36737084,0.19301815,0.11216621,0.05318264
17,0.053944934,0.18450712,0.018705014,0.18943724,0.2776915,0.27571422
18,0.16554418,0.27204978,0.10889111,0.15733612,0.20844829,0.08773054
19,0.064444765,0.4730219,0.085363105,0.055236004,0.22214358,0.09979065
20,0.022508714,0.30644733,0.14661822,0.05060036,0.2646756,0.20914981
21,0.058661036,0.041708305,0.5378174,0.16720629,0.1240163,0.07059065
22,0.050046008,0.022732925,0.85223943,0.0041895127,0.016795587,0.053996544
23,0.5442023,0.1304626,0.027033884,0.1568804,0.041777134,0.099643625
24,0.13803324,0.16484682,0.40876585,0.06506388,0.15002313,0.073267065
25,0.04302422,0.02748149,0.59822357,0.10324546,0.081948206,0.14607707
26,0.16519424,0.2890416,0.07294052,0.10171573,0.16670719,0.20440075
27,0.14945757,0.1635767,0.32277015,0.0827867,0.15635417,0.12505467
28,0.104893684,0.08319577,0.1301605,0.17613328,0.26661167,0.23900509
29,0.036908034,0.57139885,0.020654332,0.05392892,0.09357488,0.22353491
30,0.1577659,0.09209463,0.31823272,0.16123608,0.1932703,0.07740039
31,0.09998192,0.26237231,0.02187849,0.24446511,0.17121918,0.20008297
32,0.27908623,0.14055963,0.12569694,0.15145572,0.23047693,0.072724566
33,0.13243333,0.23929718,0.0468054,0.17210715,0.29095942,0.11839751
34,0.08594535,0.19224556,0.032147285,0.27510875,0.15657713,0.25797588
35,0.07317245,0.49475646,0.043141775,0.10390748,0.11495352,0.17006832
36,0.07711553,0.60625887,0.007777497,0.06839032,0.2102478,0.030209968
37,0.025902156,0.49514827,0.1452606,0.04118639,0.031923905,0.2605786
38,0.07193989,0.10963978,0.3490045,0.07801779,0.16709897,0.22429904
39,0.044016887,0.27483043,0.06592992,0.13034564,0.1710263,0.31385082
40,0.24236545,0.12625512,0.09870115,0.26330838,0.13379863,0.13557124
