topic_id,rank,word
0,1,experience
0,2,summer
0,3,look
0,4,stuff
0,5,pretty
0,6,social
0,7,game
0,8,new
0,9,tbh
0,10,sure
1,1,fish
1,2,end
1,3,list
1,4,answer
1,5,outsmart
1,6,listening
1,7,previous
1,8,current
1,9,take
1,10,edge
2,1,bit
2,2,current
2,3,home
2,4,favourite
2,5,rest
2,6,stuff
2,7,team
2,8,album
2,9,wake
2,10,hear
3,1,weather
3,2,work
3,3,video
3,4,tbh
3,5,team
3,6,story
3,7,pretty
3,8,list
3,9,hit
3,10,target
4,1,kind
4,2,general
4,3,incorporate
4,4,mood
4,5,summer
4,6,honey
4,7,weather
4,8,make
4,9,sport
4,10,question
5,1,love
5,2,study
5,3,favourite
5,4,play
5,5,answer
5,6,mood
5,7,target
5,8,video
5,9,current
5,10,straight
