PID,Image,Embedding
0,4o_DA,"-0.13016977906227112,-0.3675996661186218,-1.1384233236312866,1.0885791778564453,0.6371455192565918,0.7650405764579773,-1.0499892234802246,-0.6194722056388855,-1.3682615756988525,2.2646408081054688,-1.1705926656723022,-0.07985370606184006,-0.7648818492889404,-1.581796407699585,-0.028942137956619263,0.6620773673057556,2.0549609661102295,-0.6538273096084595,0.21929241716861725,-1.208424687385559,1.5570645332336426,-0.8812273144721985,0.5918246507644653,-0.13327908515930176,-0.42654719948768616,-0.5821106433868408,-0.5912041068077087,1.631959080696106,0.8700423836708069,2.445096492767334,0.8922122716903687,-0.5720988512039185,-0.029694370925426483,-1.3334996700286865,1.1873027086257935,-0.4827255308628082,-1.6768693923950195,0.7288747429847717,1.2518413066864014,-0.32128283381462097,-1.3272005319595337,0.4947972297668457,0.7808347940444946,1.4652009010314941,2.7015738487243652,0.309426486492157,0.29171308875083923,0.030752964317798615,-1.0566951036453247,0.666806697845459,-1.7993528842926025,0.29097551107406616,-0.5746111869812012,0.009855858981609344,-0.21657754480838776,1.8663971424102783,1.2750033140182495,-1.2650020122528076,0.7097107768058777,-0.6078870296478271,-1.662662386894226,-0.24163764715194702,1.8880207538604736,-1.9983406066894531,-2.450881242752075,-0.003885522484779358,-1.0375505685806274,0.22888021171092987,-1.5973470211029053,-1.0292680263519287,-0.4492611289024353,0.28987130522727966,-1.1729545593261719,-0.5182061791419983,0.9718073606491089,0.9454229474067688,-1.2691434621810913,-0.3545604944229126,-0.3333999514579773,0.06220652163028717,1.4564722776412964,-0.20867371559143066,-0.9880558848381042,-0.1506962776184082,1.0035924911499023,-0.1340157687664032,-1.020412802696228,0.9691061973571777,-0.8418605327606201,-0.34249815344810486,0.4066680371761322,0.9803000688552856,0.5148802399635315,1.3974319696426392,-0.3815542459487915,-0.3630182445049286,-0.9690809845924377,-1.40461003780365,-1.7801899909973145,-0.4550290107727051,-0.08486595749855042,-0.7685661315917969,0.163497656583786,-1.8074867725372314,-0.13630948960781097,-2.2961554527282715,-0.9836598634719849,-0.014327816665172577,0.6011059284210205,1.639752745628357,0.2969605326652527,-0.2834937572479248,-0.5395311117172241,1.3762986660003662,-0.7670588493347168,-1.3986129760742188,0.4843612015247345,0.15188804268836975,-0.9743539094924927,-0.07923628389835358,1.9164832830429077,0.18545183539390564,1.4322553873062134,-0.4140056073665619,0.15647044777870178,-0.8301973938941956,0.7765257954597473,-1.4938305616378784"
0,4o_DB,"0.33779945969581604,-0.5549002885818481,-0.9485281705856323,-0.24739977717399597,0.9421566724777222,0.2690190374851227,-0.9631413221359253,-1.2201228141784668,0.44301638007164,2.0030510425567627,-2.1419425010681152,-0.5784607529640198,-1.8961769342422485,-0.39056578278541565,0.33457624912261963,1.4204192161560059,1.8870478868484497,0.6795091032981873,0.592286229133606,-2.7032470703125,1.4794260263442993,-0.7292099595069885,1.2725399732589722,0.006176270544528961,0.5115830898284912,-0.6472718715667725,-1.4346340894699097,-0.16124959290027618,0.09494352340698242,1.309487223625183,0.12681886553764343,-0.7860999703407288,-0.5051698684692383,-0.5405230522155762,2.3164942264556885,0.16450214385986328,-0.8437715768814087,2.005239963531494,1.4361026287078857,-0.018384911119937897,-1.4772197008132935,-0.07135532796382904,1.4273663759231567,0.768449604511261,0.7721554040908813,-0.34502655267715454,-1.2711267471313477,-0.012821193784475327,-1.6579387187957764,0.8678197860717773,-1.2897415161132812,-0.34246769547462463,-1.754008173942566,0.6708002686500549,0.6589542031288147,1.130078673362732,0.15694914758205414,-1.3009368181228638,-0.3953701853752136,-0.7014676928520203,-1.394871473312378,-1.489453673362732,1.5134820938110352,-1.832448124885559,-1.5008679628372192,-0.06802164018154144,-1.81303071975708,1.6925498247146606,-1.3217447996139526,-0.3825973570346832,0.004692605696618557,1.0807770490646362,-1.1692860126495361,-1.3579230308532715,0.6884998083114624,-0.0952928215265274,-1.2735382318496704,-1.6259092092514038,-1.3089001178741455,-1.2972774505615234,1.2899284362792969,0.005918998271226883,-0.9783281087875366,1.252888560295105,-0.8624516129493713,-0.8881268501281738,-0.5282041430473328,-1.0505560636520386,-1.4961304664611816,-0.3305509686470032,0.870376467704773,-0.7150240540504456,0.8084408640861511,-0.0012262891978025436,-1.907342791557312,-0.34612607955932617,-1.126598596572876,0.38874658942222595,-1.0105478763580322,0.13848352432250977,-0.36162108182907104,0.09248998016119003,-0.7649293541908264,-1.8247355222702026,-0.2221907675266266,-2.983736753463745,-2.386545181274414,-1.5623536109924316,-0.19762565195560455,0.8849260807037354,0.7457074522972107,-0.41961175203323364,1.0579537153244019,0.5149006843566895,-0.2862932085990906,-2.330263376235962,1.0324647426605225,0.521149754524231,-1.0645405054092407,0.8856578469276428,1.029150366783142,-0.1095687747001648,2.163569211959839,-0.12830539047718048,-0.8879424929618835,0.2895212471485138,0.40300253033638,-0.41838783025741577"
0,4o_MA,"-0.3834962248802185,-0.24344930052757263,-0.5730582475662231,0.7867361307144165,2.4068212509155273,-0.9583925008773804,0.0846945196390152,-1.5636910200119019,-0.14101311564445496,2.3090171813964844,-0.6806749105453491,-1.0728471279144287,-2.2110297679901123,-0.8174290657043457,-0.675885796546936,1.991227149963379,2.1181790828704834,0.39288800954818726,-0.4596318006515503,-1.574491024017334,1.3698800802230835,-1.0951839685440063,0.9079150557518005,0.7875325083732605,0.03782559558749199,-0.9897457957267761,-0.821607768535614,0.6490816473960876,0.1491391360759735,1.6913455724716187,0.9951536655426025,-1.3234108686447144,-1.0607476234436035,-0.3980640470981598,1.3800263404846191,-0.23032259941101074,-1.1350183486938477,1.6676620244979858,1.8530972003936768,0.05393572151660919,-1.8429358005523682,-1.0055625438690186,1.3747996091842651,1.4794785976409912,1.083497166633606,-0.8665346503257751,-1.0432130098342896,0.1531180888414383,-1.6993257999420166,0.6914974451065063,-2.012697219848633,0.7956019639968872,-1.0458647012710571,1.3193482160568237,-0.42579755187034607,1.683531403541565,0.8688085079193115,-1.5698565244674683,-0.45964932441711426,0.6521689295768738,-1.7271442413330078,-0.6542205810546875,1.6439425945281982,-1.7827171087265015,-1.679278016090393,0.9272226691246033,-1.0060150623321533,1.3680100440979004,-1.3450133800506592,0.8681706190109253,-0.326462984085083,0.8935133218765259,-0.7626376152038574,-0.6548282504081726,0.022855062037706375,0.2607116401195526,-0.606238067150116,-1.568725347518921,-1.1091963052749634,-0.9438355565071106,1.1584820747375488,0.047660890966653824,-0.20027107000350952,0.79422926902771,-0.46514806151390076,0.39157405495643616,-0.9476886987686157,-1.3826075792312622,-0.6847786903381348,0.02008185349404812,0.9383024573326111,-0.4072093069553375,0.6987749338150024,0.46084845066070557,-1.0580344200134277,-1.2132662534713745,-1.396375060081482,-0.6449145674705505,-1.513929843902588,-0.13144417107105255,-0.3888965845108032,0.34212610125541687,-0.6936243772506714,-1.6283921003341675,0.8051504492759705,-2.4473133087158203,-1.8675099611282349,-1.4221816062927246,-0.7393004298210144,0.9309547543525696,0.8872352242469788,0.5206748843193054,1.3789602518081665,0.7558732628822327,-0.6828158497810364,-2.3259167671203613,0.39949876070022583,0.6285258531570435,-1.802085280418396,0.6301477551460266,1.6696382761001587,0.3091244399547577,1.77953040599823,-1.0722328424453735,-1.0329722166061401,-0.009416066110134125,1.3313459157943726,-1.0620473623275757"
0,4o_MB,"-1.0019947290420532,-0.44824227690696716,-0.8843980431556702,0.10965476185083389,1.8972986936569214,-0.48613861203193665,-0.4116925597190857,-1.6801146268844604,0.5607759952545166,2.2400565147399902,-0.9673151969909668,-0.7793136835098267,-2.4695632457733154,-0.8474951982498169,-0.6246204376220703,0.9632919430732727,1.9295848608016968,0.660998523235321,-0.1966283917427063,-3.190962076187134,0.8847752809524536,-1.735048770904541,1.2347551584243774,0.2324472963809967,-0.1236095279455185,-0.8525643348693848,-0.8152158260345459,-0.2185693085193634,-0.2906474471092224,1.6720021963119507,0.07818897813558578,-1.3966395854949951,-0.9203917384147644,-0.8629647493362427,1.91089928150177,0.40102294087409973,-0.5736382603645325,2.0901191234588623,1.4715383052825928,-0.15332745015621185,-0.17241798341274261,-1.4624717235565186,0.9188823699951172,2.3334479331970215,0.9939501881599426,-1.064785361289978,-0.6546198129653931,-0.0733199194073677,-1.6439810991287231,0.5081407427787781,-1.998731017112732,0.5824379324913025,-1.3137151002883911,0.6342365145683289,-0.4292311668395996,2.0307657718658447,0.7224933505058289,-1.7293972969055176,0.23541757464408875,-0.5104410648345947,-1.2444082498550415,-1.6105200052261353,0.6148770451545715,-1.9146740436553955,-1.0093920230865479,1.2463937997817993,-1.7797348499298096,1.7597829103469849,-1.896904468536377,0.1579967588186264,-0.7723201513290405,1.2475985288619995,-0.45654428005218506,-1.7624918222427368,0.8372710943222046,-0.05725814774632454,-0.3078181743621826,-1.1214749813079834,-2.1352972984313965,-1.3199597597122192,0.0408329963684082,0.3306405544281006,-0.6723811626434326,0.704474687576294,-0.8291634917259216,-0.014764301478862762,-1.1670968532562256,-1.0126821994781494,-1.0405491590499878,0.584331214427948,0.6859027147293091,-1.2231025695800781,0.8163701891899109,-0.3415715992450714,-1.1516036987304688,-1.0395623445510864,-0.5330403447151184,-0.14392411708831787,-1.6027231216430664,0.03506575524806976,-0.35958659648895264,0.41109806299209595,-0.40063273906707764,-1.5345264673233032,0.33169543743133545,-1.6589767932891846,-1.2652037143707275,-1.0708210468292236,0.3899596333503723,1.0901844501495361,0.7781679034233093,0.7255780100822449,1.2722920179367065,0.8872288465499878,-0.8231520652770996,-2.1844780445098877,0.8535604476928711,0.08244165778160095,-1.4390672445297241,0.7231317758560181,1.3659772872924805,0.010985951870679855,2.152967929840088,-0.8395253419876099,-1.2011946439743042,-0.23919126391410828,1.428745985031128,-0.12143038213253021"
1,4o_DA,"-0.8627543449401855,0.3486371338367462,0.9920284152030945,1.0616475343704224,2.380610227584839,-0.745616614818573,1.1430065631866455,-1.3780544996261597,-0.9359993934631348,-0.046056631952524185,1.0264374017715454,-1.8880122900009155,-0.8125077486038208,-1.15316903591156,-0.003064490854740143,1.6769498586654663,1.1670185327529907,-0.377250075340271,-1.6109133958816528,-0.4830443263053894,1.791056513786316,0.3977678418159485,1.5254207849502563,-1.656032919883728,-0.8944900035858154,-0.7888727188110352,-0.38743987679481506,1.1319360733032227,0.06513258814811707,2.3245832920074463,-0.3779140114784241,-0.14150391519069672,-0.33490699529647827,-1.4787442684173584,2.0181007385253906,0.4261670410633087,-0.2912117540836334,0.5874219536781311,0.005511976778507233,0.38967159390449524,-1.2818019390106201,-0.6584007740020752,-0.13774797320365906,0.8777576088905334,1.468016266822815,-0.43667352199554443,-0.9244418740272522,0.38315659761428833,-0.15631788969039917,0.8838653564453125,-1.3635201454162598,-0.032610923051834106,-0.7885109782218933,1.3406662940979004,-1.1320017576217651,0.8933215141296387,0.030771583318710327,-0.28664132952690125,-0.13587239384651184,-0.37762853503227234,-1.8508129119873047,-0.2752639353275299,0.9995756149291992,-0.9296815991401672,-2.1374733448028564,0.9058020114898682,0.22190293669700623,1.9103800058364868,-0.787588357925415,2.3744583129882812,-0.9316787719726562,1.2593719959259033,-0.50624018907547,-1.0640007257461548,-1.2259410619735718,0.49370256066322327,0.20398244261741638,-0.12317346036434174,-2.5648417472839355,0.1993672102689743,-0.22379076480865479,-0.05086245387792587,-0.9260387420654297,0.8717405796051025,0.49163562059402466,-0.6814701557159424,0.07225371897220612,-2.6326773166656494,-1.2774571180343628,-2.121889114379883,2.0725815296173096,0.4701341390609741,0.6126682758331299,-0.702608048915863,-1.911216139793396,-0.4998440444469452,-0.28075146675109863,-0.8335738778114319,-1.5409424304962158,-1.2414014339447021,-1.0883738994598389,-0.15405964851379395,-0.5351497530937195,-1.007519245147705,0.9467342495918274,-0.44280773401260376,-0.10495944321155548,-2.0303680896759033,0.8166520595550537,2.959341049194336,-0.1809394806623459,-0.5509936809539795,1.1643143892288208,1.6819311380386353,-0.15781831741333008,-0.5351923704147339,0.4836902320384979,-0.9497365951538086,-2.357696056365967,0.048203106969594955,1.5516722202301025,0.7025396823883057,2.159867763519287,-1.3683075904846191,0.5070224404335022,-0.9602817893028259,0.17304734885692596,0.8002844452857971"
1,4o_DB,"-1.1179091930389404,0.27539366483688354,-0.8210281133651733,0.6234216094017029,1.5576268434524536,-2.585728406906128,0.11474809050559998,-0.6544071435928345,-1.0846717357635498,0.5207058191299438,0.4436354637145996,-1.3921420574188232,-1.3492605686187744,-1.4236841201782227,0.5056538581848145,1.2074763774871826,0.7107492685317993,0.48037493228912354,-1.459337830543518,-0.664434015750885,1.533235788345337,0.3020979166030884,0.5403879880905151,-0.1445208489894867,0.6248428225517273,-0.166123628616333,-0.12716779112815857,0.785987913608551,0.9452387094497681,2.0193686485290527,-0.6803425550460815,0.6482470035552979,-0.17926505208015442,-0.2187851369380951,0.6684908866882324,1.1042839288711548,-0.33686909079551697,0.4306257367134094,-0.943522036075592,0.47136545181274414,-0.6597679257392883,0.4505992531776428,-0.1414714753627777,2.5575270652770996,0.7521923780441284,0.0863942876458168,0.44266781210899353,0.6264352798461914,-1.095024824142456,0.8464493751525879,-1.3745062351226807,0.5902435183525085,-1.4780642986297607,2.13702392578125,-0.6499404907226562,0.6784311532974243,-0.7709911465644836,0.024838481098413467,-0.4207626283168793,0.15450745820999146,-1.0280747413635254,-1.519444465637207,-0.6799033284187317,-1.8628894090652466,0.07386218011379242,1.3102666139602661,-1.187794804573059,2.4723126888275146,-0.7562320232391357,0.2571699023246765,-0.9973011612892151,1.5479867458343506,-0.6111181378364563,-0.6074025630950928,-1.058516025543213,0.05155157670378685,0.8717029094696045,-0.5814349055290222,-2.1431915760040283,0.5352209210395813,-1.6092995405197144,0.32004937529563904,-0.29829132556915283,1.8158780336380005,0.3874981999397278,0.36336344480514526,-0.3590717315673828,-1.9738764762878418,-0.10238640010356903,-0.7068955898284912,1.6567413806915283,0.6112614274024963,0.9977073669433594,-0.4766445457935333,-1.4555598497390747,-0.6514425277709961,0.1145532876253128,-0.9504022598266602,-1.2598927021026611,-1.176946759223938,-0.4718487858772278,-0.04018155485391617,-0.36984166502952576,-1.06440269947052,-0.1795070916414261,-1.1613585948944092,-0.5714334845542908,-0.7640889883041382,1.287972331047058,2.2730953693389893,-0.20181116461753845,-1.4547902345657349,1.5944477319717407,1.163851261138916,0.7938923835754395,-0.6746304035186768,0.5617390871047974,-0.9109888076782227,-0.29608187079429626,0.4471941292285919,1.7684906721115112,1.6365954875946045,0.18700845539569855,-1.4428192377090454,-0.5405784845352173,-0.49408650398254395,0.09852903336286545,0.6860334277153015"
1,4o_MA,"-1.0917569398880005,-0.2954331040382385,-0.8311735391616821,1.5973358154296875,0.7915183305740356,-2.291083574295044,0.4729255437850952,-0.5785719752311707,-1.8857929706573486,-0.2779991328716278,0.36964109539985657,-1.3644675016403198,0.45201534032821655,-1.7834833860397339,1.3823961019515991,0.4148854613304138,0.9545295238494873,0.5252770185470581,-2.0167760848999023,0.2857047915458679,0.2793934643268585,0.0583539642393589,0.26624155044555664,-0.7762205004692078,-1.1045506000518799,0.33357906341552734,-1.3251237869262695,2.4552412033081055,0.8197206854820251,2.1985442638397217,0.396623820066452,0.38998401165008545,0.1527765542268753,-0.863944947719574,0.3919742703437805,0.671141505241394,-0.7218707203865051,0.4324857294559479,-0.8818097710609436,0.4290371239185333,-0.6944370269775391,0.8195266127586365,0.2485593855381012,0.405417263507843,1.4294171333312988,-0.508038341999054,2.093716859817505,0.5429254770278931,-0.9529972672462463,0.5575339794158936,-0.8696070313453674,-0.2514626383781433,-1.663705825805664,2.057518720626831,-0.919859766960144,0.8101284503936768,-1.2230888605117798,1.224892497062683,0.5100337266921997,0.7991992235183716,-1.2900824546813965,-1.7503130435943604,1.035140872001648,-1.3326431512832642,-0.2930808663368225,-0.08137071132659912,-0.6824315786361694,2.33943247795105,0.24320071935653687,0.35742300748825073,-0.9683827757835388,0.5763363838195801,-0.34191328287124634,-0.49259281158447266,-1.6243033409118652,0.7994991540908813,-0.1445520967245102,-1.0933794975280762,-1.2772440910339355,0.11713173985481262,0.15283659100532532,-0.7645765542984009,-0.8689364790916443,1.133183479309082,-0.5822898745536804,-0.1907615214586258,0.06672271341085434,-1.0825814008712769,-0.25534528493881226,-1.1347296237945557,1.7481962442398071,0.03111124224960804,0.4116862714290619,-0.8256701231002808,-2.437554121017456,-0.22795775532722473,-0.7606861591339111,-1.197259545326233,-0.41319525241851807,-0.5166517496109009,-0.6572282910346985,0.7439175248146057,0.30209586024284363,-0.8335096836090088,0.11031173914670944,-0.708283543586731,-0.4533900022506714,-2.1149606704711914,1.097007393836975,2.2917897701263428,-0.7323315143585205,-0.21643833816051483,-0.08267785608768463,1.3523918390274048,1.0681848526000977,-1.4612488746643066,-0.6159512996673584,-1.705824375152588,-0.36530888080596924,0.48876526951789856,0.6771259307861328,1.5581556558609009,0.5736165046691895,-0.7037886381149292,-0.7172953486442566,0.284554123878479,0.6103761792182922,0.4974217414855957"
1,4o_MB,"-1.1041653156280518,0.4590865671634674,-1.3254016637802124,1.4493846893310547,1.7525328397750854,-1.2295148372650146,-1.1615816354751587,-1.02587890625,-0.040631745010614395,0.42895516753196716,-0.08991199731826782,-1.201194167137146,-0.9838853478431702,-0.6881754398345947,0.042836349457502365,-0.3053693175315857,1.1045869588851929,-0.7435400485992432,-2.3101446628570557,-1.472137212753296,-0.21942138671875,0.6311443448066711,-0.30373096466064453,0.2210679054260254,-1.3580379486083984,-0.3820760250091553,0.7166186571121216,1.3694220781326294,0.2807496190071106,1.8095725774765015,-0.8776328563690186,1.1049879789352417,-0.7251588702201843,-2.0380494594573975,1.2293721437454224,1.1366547346115112,-0.979130744934082,1.1567635536193848,-0.3172164261341095,1.4193143844604492,0.25551632046699524,-1.3183984756469727,0.212953120470047,1.4053095579147339,1.6023337841033936,-0.6125901341438293,1.5952140092849731,-0.07725382596254349,-0.6003561615943909,0.5608773231506348,-1.6296899318695068,0.4076663851737976,-0.8382260799407959,0.9236212372779846,-0.9498233199119568,1.3755536079406738,-0.7833869457244873,-0.9903462529182434,-0.9228768348693848,-0.9317702651023865,-2.033784866333008,-1.7712113857269287,0.08698113262653351,-2.0374786853790283,-1.5563040971755981,1.9466863870620728,-0.5816432237625122,2.4704642295837402,-0.21228983998298645,-0.7581355571746826,-1.1047937870025635,1.224636197090149,0.4598022699356079,-0.27005934715270996,-1.3528327941894531,0.05877222120761871,0.49151721596717834,-1.2067888975143433,-2.23714017868042,-0.3613491654396057,-0.2808838188648224,-0.5152997970581055,-0.2078540325164795,2.863320827484131,-0.025810904800891876,0.19957402348518372,0.6425925493240356,-1.2430567741394043,0.23728498816490173,-0.7132788300514221,1.28291654586792,-0.6222648024559021,1.7859498262405396,-0.6928671002388,-0.8241134881973267,0.3640913665294647,0.48601558804512024,0.5052213668823242,-1.8380331993103027,-0.8290314078330994,-0.9984068870544434,0.1432698667049408,-0.04209260642528534,-1.0442736148834229,0.6453790664672852,-1.5937649011611938,-0.018009519204497337,-0.41216713190078735,1.6642909049987793,2.1145992279052734,0.9990562796592712,-0.6584854125976562,0.6197594404220581,2.0635128021240234,-0.8160641193389893,-0.7493733167648315,-0.4540404677391052,-0.03372316062450409,-0.6367020010948181,-0.04066689312458038,-0.07963079959154129,1.3317543268203735,0.7790991067886353,-0.8758577704429626,-0.2966774106025696,0.6750848293304443,0.2689620852470398,0.7414344549179077"
3,4o_DA,"-0.20707258582115173,0.26315274834632874,1.266497254371643,-0.9548039436340332,1.2475086450576782,-0.18362656235694885,1.2393264770507812,-0.07308277487754822,-0.3390415608882904,0.33725184202194214,0.18020200729370117,0.007675588130950928,-1.066164255142212,1.2509393692016602,1.4710299968719482,0.12007215619087219,-0.6843729019165039,-2.2119529247283936,-1.6729395389556885,0.2728233337402344,-0.9440525770187378,-0.7018736004829407,0.4613664746284485,0.6054040789604187,-1.0423141717910767,-0.016592316329479218,0.7569003701210022,-1.7977863550186157,1.249214768409729,1.9469331502914429,0.4647691547870636,-2.0923922061920166,-0.6595183610916138,-0.6052032113075256,0.6595211625099182,0.40846335887908936,0.362522155046463,-0.5028096437454224,0.6149827241897583,-0.661648154258728,-0.9496294260025024,-0.8541862964630127,-1.275128960609436,0.6005566120147705,-0.43236973881721497,-0.7378324866294861,-0.010545371100306511,0.14120933413505554,-2.6957011222839355,0.31538325548171997,-1.8970792293548584,1.6590582132339478,-0.11557605117559433,0.8802919387817383,-1.07990562915802,-0.40520671010017395,1.2592869997024536,0.7015935182571411,0.9166701436042786,0.6795547604560852,-0.16980688273906708,0.05004466325044632,2.206942558288574,0.10895752906799316,-0.6295589208602905,1.308271050453186,-1.144706130027771,2.46805739402771,-0.27239546179771423,1.8725453615188599,-0.5050398111343384,0.454560250043869,-1.3808019161224365,-0.18330082297325134,-1.054484486579895,0.9647554159164429,-0.9812401533126831,-2.164281129837036,-0.6876018047332764,-0.9656021595001221,-0.4650637209415436,-0.12983620166778564,-1.2449990510940552,1.2985460758209229,1.1309430599212646,-2.166841506958008,-0.12478558719158173,-0.6316547393798828,-0.7274216413497925,-2.1142539978027344,-0.803684413433075,-1.5282890796661377,1.357911467552185,-1.1160855293273926,-1.5837880373001099,0.8956472873687744,-0.11396773159503937,0.38194790482521057,0.25258877873420715,-0.6192343831062317,-1.1054133176803589,0.020817860960960388,-0.9920610189437866,1.2456934452056885,0.6979785561561584,0.723994791507721,-1.4107052087783813,-1.6186161041259766,0.9663152694702148,1.5644975900650024,0.8606438040733337,-0.6630589962005615,2.540815591812134,-1.4191080331802368,-0.11834941059350967,0.11857655644416809,-1.1393885612487793,-0.1696578860282898,-0.12935397028923035,0.805210530757904,1.5487102270126343,0.8087136745452881,0.3141414523124695,-1.9167834520339966,-0.12902714312076569,0.46324947476387024,0.6378247141838074,0.02837464213371277"
3,4o_DB,"-1.0702006816864014,-0.5408856868743896,1.4311010837554932,-0.5631388425827026,0.7818598747253418,-1.0802141427993774,1.4690443277359009,-0.6669350266456604,-0.5861716866493225,0.8914300203323364,0.7547709345817566,-0.07526347041130066,-1.3957480192184448,1.0000807046890259,0.31968560814857483,-0.21643656492233276,0.6304101943969727,-1.685613751411438,-2.2646729946136475,0.37833619117736816,0.05765426158905029,-2.3178975582122803,-0.24654176831245422,0.7497963905334473,-0.2053835541009903,0.6533888578414917,1.9160079956054688,-1.898937702178955,1.0245219469070435,1.7003132104873657,0.8559896945953369,-0.3545806109905243,-0.8507263660430908,-0.5218853950500488,0.10112177580595016,0.09308609366416931,-0.4317461848258972,0.6212950944900513,1.5513973236083984,-0.9065449237823486,-0.8472824096679688,-0.7573741674423218,-1.0772632360458374,1.3454114198684692,-0.6341662406921387,-1.2212305068969727,0.2775915563106537,-0.19760386645793915,-2.799238681793213,0.12163734436035156,-0.8232406973838806,1.295941710472107,0.5331795811653137,0.45388591289520264,-0.01528695598244667,-0.7157763838768005,0.5782787799835205,0.2199418544769287,1.5769948959350586,0.45888885855674744,-0.5335289835929871,-0.5835884809494019,1.4177935123443604,-1.2483488321304321,-0.2953260540962219,0.7895281314849854,-2.007920980453491,2.3584187030792236,-0.8375359177589417,2.5085062980651855,-1.3000891208648682,-0.012975193560123444,-1.6148324012756348,-1.2316737174987793,-0.720157265663147,0.6926332712173462,-0.29904207587242126,-1.6274057626724243,-1.0570334196090698,-1.2557806968688965,-0.3147197365760803,-0.8544721603393555,-1.4026628732681274,1.0577675104141235,0.7510619163513184,0.9907257556915283,-0.28463077545166016,-1.359453558921814,-1.233412742614746,-1.9676390886306763,0.006546035408973694,-1.3488496541976929,0.719062089920044,-1.5704131126403809,-0.7565606832504272,0.8468344807624817,0.6659569144248962,-0.8597350120544434,0.5269121527671814,-0.8787001371383667,-1.8537317514419556,1.507513165473938,-0.057376742362976074,-0.3215597867965698,-0.10431317239999771,0.3627051115036011,-1.2764928340911865,-1.0185219049453735,0.648117184638977,1.7754526138305664,0.2624357342720032,-0.3712446689605713,2.1478819847106934,-2.042985677719116,-0.6176963448524475,0.4794313609600067,-1.9112803936004639,0.19788388907909393,-0.99550461769104,0.12477317452430725,1.209580659866333,0.44098204374313354,1.1682716608047485,-2.3349173069000244,-0.43467622995376587,0.21452492475509644,0.9082132577896118,0.24808599054813385"
