pid,topic_0,topic_1,topic_2,topic_3,topic_4,topic_5,topic_6,topic_7,topic_8,topic_9,topic_10,topic_11,topic_12,topic_13,topic_14,topic_15,topic_16,topic_17,topic_18,topic_19
0,1.0487193107472558e-20,6.637282738983168e-15,2.1180808039734724e-26,5.152485347011726e-22,6.017077958624523e-58,5.28806878960891e-33,2.4148007986531083e-26,9.078519115255768e-31,1.1029234302979528e-19,2.1719476050726383e-17,1.40809666266791e-26,6.600762969861157e-30,2.223599004899393e-24,3.831687851427284e-30,4.091615797237618e-26,1.135286271468458e-26,5.5675155660081994e-24,1.4156267506480846e-23,2.4939825477042276e-23,0.9999999998143321
1,0.9999999953410039,1.4621541830344248e-30,4.474003405368781e-09,3.4107297501489885e-58,7.971068067681888e-15,9.399264181300946e-33,2.9765123309657783e-36,1.7284495276321045e-33,2.6269122866409407e-25,1.1129762186905942e-47,2.0627645845392326e-37,2.4750137473248477e-35,8.69298283469019e-25,7.00982016236667e-45,6.546220901115403e-43,1.2446459303163007e-27,4.021826053710335e-34,4.560073797595379e-31,6.646942808769868e-31,3.057442420656125e-26
2,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
3,2.311149093215979e-58,1.4145462657937057e-43,2.1326048460359248e-57,0.9999999998386486,2.0622204789407106e-46,1.590239570805789e-50,2.1952207514709678e-51,7.156315336755165e-54,4.1841169754424104e-40,7.536923865342556e-49,2.0936118831615547e-55,5.015805133227161e-38,6.457288370482402e-51,3.1814564706613883e-57,7.0565029128451924e-43,1.9334996027220163e-44,3.2148857717437974e-54,3.660291250433396e-48,4.2964084109586836e-48,9.962477711100221e-51
4,1.2623002952324126e-25,0.9999999997244897,2.407346643187954e-31,3.0012986900753245e-66,5.645117100975868e-56,2.5197731181075327e-32,3.1267680119123113e-44,6.6677972466675664e-31,6.437611147136277e-41,1.4475280355201021e-36,2.359807305754929e-25,5.476629240716502e-48,2.9435629648654184e-32,1.2924611736036044e-23,1.0087350578656568e-41,9.102804627181773e-25,8.055377230813856e-38,9.608527518873577e-62,8.085663345133666e-52,1.0909145973618834e-30
5,5.046339934702662e-20,4.474434912522478e-50,1.42429568569949e-45,2.5957825682951774e-44,1.8881659502721607e-29,1.6063548882030736e-44,7.847195655852523e-41,2.303650261704909e-37,7.421258144271239e-35,6.508332859063006e-43,1.798925534382295e-41,1.7761191164587296e-36,3.3806736240710534e-26,3.7645692893402084e-41,1.2778631646551745e-39,5.477915044381176e-35,9.500143874907517e-38,0.9999999997636614,2.6387292219692924e-48,4.8131623963334484e-36
6,2.6427877058541065e-30,5.490362950390982e-29,4.06516273215349e-40,1.502573457566963e-19,1.2760698510003226e-31,9.52188793919238e-28,8.946115894650476e-41,1.0280077499233057e-26,6.227770411026727e-30,0.9999999997983627,5.838592043289544e-47,8.345203534344747e-49,3.275384790589075e-29,8.017447334620698e-23,7.85312388945765e-27,5.60109881790921e-21,6.322303111554239e-37,6.814301807783008e-40,1.3730513356413447e-30,2.156066864496145e-23
7,2.2080788922341478e-27,8.826757269161038e-33,1.5526346555209681e-40,1.1144489911480085e-21,1.392277325319065e-44,1.757683431458297e-27,4.796063012936639e-32,1.4304190081690215e-37,3.414686187089657e-41,2.9852096130218983e-38,5.638815882563294e-35,2.639529041002037e-43,1.6214109719831423e-23,3.2116218364492865e-36,1.2301414367071044e-26,2.148766795400627e-40,8.304647814142826e-30,5.429312235424382e-34,0.9999999998688548,1.0174228701497561e-27
8,5.27731811020857e-42,1.6192313031903632e-30,3.6143425549616994e-48,6.556359559380983e-33,4.1054294894525096e-35,2.2680816912624617e-34,1.6152422081481664e-64,4.395768707189155e-40,4.0100018650257735e-55,1.7238920374382593e-36,6.031759110732815e-31,1.513603719080289e-29,1.582131550811116e-45,0.9999999997644938,2.4460107271279797e-41,1.2775986567287528e-36,1.43371772600224e-43,1.88572108479012e-49,1.37826438862727e-30,3.3749652536243706e-38
9,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
10,6.0634878867949855e-18,2.1174881414117865e-35,5.70350464013656e-25,3.2838319910524894e-31,3.9009443018604495e-23,2.3465960901436578e-39,1.1917940356382766e-46,3.0060211660709293e-26,4.5869658055933966e-26,2.8005312338915843e-19,0.9999999998061565,9.42546687264274e-44,2.230716991665542e-29,6.61071610844293e-37,1.315178586954672e-40,2.9010217714156734e-36,4.086850347670741e-37,2.264150732615823e-39,3.3825638008626803e-29,5.319710594649883e-34
11,9.973367999901677e-24,3.621432293296779e-28,9.115055079578577e-30,1.175434376479679e-34,3.041747520862979e-38,1.2651618222206516e-17,1.0420857473156842e-41,1.6702012211852033e-34,4.280609014075674e-39,3.311807921974775e-32,8.296835298006123e-26,4.162284499037192e-28,1.0800322595504703e-28,8.113956830184722e-29,2.2875300143408254e-31,0.9999999998118028,7.189815759026476e-25,2.12909449968952e-35,8.343494949744166e-36,2.9161654112354695e-30
12,1.049549599848855e-25,2.0896395817311516e-25,8.925005115347332e-20,4.6784982270430765e-30,5.638487379303096e-38,5.252126756922891e-30,0.9999999997718663,3.443322917176055e-24,5.805373405850962e-20,1.1145423452041326e-33,4.893092177380094e-30,3.153824464731089e-47,4.1004324231570326e-38,1.8272101228219547e-42,3.7866266564578907e-51,1.9447163209762014e-35,1.4783403497961035e-31,2.253016744613898e-37,5.369412033324731e-47,6.753081499700849e-37
