pid,transcript
0,"Sure! Let's start fresh. What's on your mind? Hi, what's your name? []! Nice to meet you! Pretty productive actually. Woke up decently early and went to class and I'm doing work right now. Are you a student at UofT too? Sociology and pol sci, but I like sociology more It talks about genuine issues at individual, institutional, and global levels. These issues are usually related to stuff like discrimination and targeting of minorities or exposed populations. Learning about these issues are cool because.. I don't remember what I was gonna say but learning about these things is super cool! It's invigorating in a way Mmm, maybe? But I can't recall off the top of my head. I just like the classes where we learn about really specific issues of discrimination towards populations I'm in a social movements course where I'm tasked to creatively explore a social movement of my choosing, which is BLM this time I'm unpacking key actors and strategies using theories I've learnt about social movements, but also highlighting how rap music has voiced and spotlighted the issues experienced in BLM. I want to somehow incorporate using a [] song and bars from it that do what I just said, that highlight issues within BLM, cuz I listen to [] quite a bit, defo top 5 rappers for me i LOVE ALRIGHT, that was the one I was thinking, but the [] the berry or how much a dollar cost is also really good. TPAB is my fav album of their. I like GKMC a lot and DAMN is pretty good, but DAMN isn't as strong as the other two, still a great album"
1,". hi [] to meet you I'm pretty [], just got back from work, what do you do for work? I work on technological products mostly software and firmware design. I work a lot on embedded systems, are you familiar with those? Unfortunately I cannot disclose that kind of information, what do you do in your spare time then? I like to play video games in my spare time, lots of FPS games what about you? I like competition, so I play a lot of [] in my downtime trying to get back to [] LOL Not enough time tbh, do you have a lot of free time? I would probably like to do bigger things with my life than [] Thinking of maybe creating a startup, do you have ambitions? Yes probably tech focused, would you like to be apart of it? I'm still thinking of ideas but you seem pretty interesting"
2,
3,"how are you today. its so cold super cold for some reason. what's your favourite season? what do you usually do during the fall season? im def dreaming of summer haha do you have any other general hobbies? totally dreaming of the []! im excited to travel this summer im going to [] and then im going to [] for a month! where would you like to travel if you could that's so cool! just relaxing in [], and then im doing a program at [] while in in the []! what are some of your favourite academic topics? its a psych program which is fun! if you could have any job on the planet, what would you pick? that's so cool! ideally I would be a professional napper. what's your favourite colour? cool! I like pink. if you could instantly learn any language, which one would it be? oh cool! I think [], especially since im []."
4,"Skip to content It's uhh... could be better Idk I don't know, it's hard to talk to someone you don't know well How do you feel about the []? I like a lot of them... two of them that come to mind are [] my dear and [] I just like them! cozy songs hmm I like []! wbu? what's your favorite song Really? That doesn't sound like what from the start is like It I don't really think it is though.. it's an upbeat bossa [] hit Idk let's talk about something else desserts? [] desserts? Can you taste? I like ice cream! Those matcha ones with a fish-shaped wafer Yes I like matcha the best, the bitterness cuts the richness No! But id love to"
5,". Hi there, how has your day been? My day has been going great, aside from the fact that it's snowing a ton outside even though its April It will be the slushy kind tomorrow when the temperatures rise and all of the snow melts Full day of classes tomorrow and work to do on campus, which means I've got to keep myself dry somehow with all the puddles and crap on the ground Very short commute, so not a problem Lot's of classes and work to do Water only I don't want to [] myself into needing caffeine I don't have good energy throughout the day Probably general grind I just use the [] technique to keep myself sane I usually adjust depending on the day and what i'm doing I'll put tasks into google calendar and work from there"
6,. hi it's going alright.. just a little busy from some assignments and exam season haha. how are you doing?? theres one for my statistics class and one for linguistics! do you have anything stressing you out? awww thats very nice of you!! the stats assignment is a psychology statistics course so it's super tedious.. exactly! it's mostly spss and analyses in a program called jamovi. thank you for being helpful! what have you been up to recently? we're running all of those tests honestly it's a pretty all inclusive assignment so i'm on a time crunch today haha. what types of things do you like learning?? i love cognitive science too! i'm a psychology student. what makes you like those subjects??
7,". Not much. I'm currently working on a survey! How are you Not sure quite yet. It's something my friend sent me to fill out I tihnk its a help me with research type of survey Just diving in blindly LOL how has your day been Pretty boring I watched a couple of lectures for school but thats a bout it nothing extremely interesting yea i agree. it was linear algebra 2 which i tihnk is a pretty interesting math course. its my favourite course this semester The prof is pretty good and teaches really well. its better than most lectures since theyre pretty boring and monotomous they're just really straight forward the theory and then example of how to use the theory and repeat. Just straight up handson stuff Well I'm currently studying computer science which is a pretty math heavy major. I do prefer math over essays tho. Im not really set on my future maybe something related to software developing and stuff like that but I also want to do many things in the future I would love to travel and become a travel vlogger type person. I think that would be really cool making money while traveling. Not staying in one place I would like to go back to [] as well as [] like my family is doing this summer but I'm not able to because i'm working for the summer term. WHat about you? Porbably a bit of both. Places where family is to visit them, and new places! I would love to go check out []. I love the cyberpunk city vibes it has"
8,"""."" I am into psychology and research!@ Hmm I like to run survey studies, because running experiments is time-consuming. Regardless, it is fitting because I am into political psychology (and the psychology of belief more generally). So, running surveys with scales is appropriate when assessing belief Broadly, I'm interested in the psychology of authoritarianism, how is it that extreme individuals hold their beliefs, what do they believe, and how do these extreme beliefs contribute to an increasingly polarized political scene. Both are greatly important. However, I am interested in [] proposition that there is a general authoritarianism at the heart of both LWA and RWA. His SPSS talk seems to state that their general authoritarianism scale (in progress) is a better predictor of relevant criteria, compared to just measuring LWA and RWA separately If they publishes the general authoritarianism scale during the summer, I'd want to do research on it, to be honest. His talk was in 2023, but I'm not sure when the paper is being published. His SPSS talk says that there was 5 studies done already"
9,
10,"Got it! Hey there! I'm excited to chat--what would you like to know about me? Or better yet, tell me a bit about yourself first! I'm a Physics undergraduate student im more into the applied side, I specialize in Biological Physics actually yeah its pretty cool. I mainly work in soft matter and proteins. My latest paper is on how the extracellular matrix stiffness affects cancer proliferation and metastasis. How about you what do you study? to answer your question, i'm more on the materials side exactly. So far ive just been doing mathematical models and playing with them. You know oddly a lot about Biophysics huh you really are a generalist I I don't know much about math models, so far ive only been using established models and adding thing onto them. Anyways i gotta go. Nice talking to you"
11,. idk exam season is coming up and its just been stressful i think its both. are exams coming up for you too? i want to plan things out and start studying early but I always fall back into the cram and hope for the best. what are you doing now that you have no exams? are you looking for jobs? wait i forgot do you live with your parents still? what do you mean by everywhere at once? so you live on the streets? ooo snacks what snacks do you like? sweet or savoury i think im more of a savoury guy but I do like a sweet treat sometimes. gotta watch the calories you know yea i love chips they hit the spot for me. how often do you have snacks not too often cuz im trying to lose calories right now no not really do you have any? you look pretty jacked to me but i heard veggies chips arent that healthy
12,""". not bad, how are you i think id say going to a club social with my friends, we had food and listened to club election speeches the speeches were all right, but honestly im not even part of the club so i was just accompanying some friends and mostly there for the food just pizza and soda but it was all right since i didnt have to pay oh my friends do take it seriously, its a club more related to their programs and interests id consider it, but primarily because i know people, and since the people i know are graduating i have less incentive to join id say Id say im mostly a free agent, ive participated in some clubs but honestly never felt too attached to them, the main thing id say i really liked being part of was my intramural soccer team i used to play competitively, but now im part of the school's coed recreational league, which is much more chill i do miss the competitive side, as we'd take it much more seriously, with tactics and everything. also the skill disparities in my current team make it more difficult to coordinate everything properly i think ill be sticking with casual for now since its really accessible to me through the school, but maybe some day ill try competitve again"
13,". I'm okay Alhamdulillah, how are you? It's been slow, I recently got the flu so not as much energy today. Yes, I add it to some [] tea. What about you? Definitely messing with it because i usually sleep really well Hmmm not really Both, depending on what I'm watching/ listening to!! Have you been watching anything interesting recently? What's a good mystery/ thriller?? Ive been trying to venture into that genre. Rn im re-watching blue lock, and fairytale I lovedd deathnote, monster got a bit boring for me, I've been meaning to watch psycho pass tho! Thanks for the recommendations No but I watched []'s basketball [] was too boring for me im sorry, but I prefer subbed unless there's a really well done dub."
14,". [] what's up, not much, what about you? I've been a little busy with school and my sleep schedule is pretty fucked but hey, I'm going out this weekend so at least I get to enjoy life for a little. My friends host this party like once every two weeks and there's one tomorrow on Friday, so I will be there. Well, it's a [] party. We do tend to have a little more fun in these hahahaha. It's a pure reggaeton party. The DJs are also my friends, the owners of the event. Damn, I requested [] by [] with []. They told me they were going to play it, so I'm pretty excited. Definitely dancing and singing. That's all we do. In [] culture there's not really like ""dance moves"" per se. We just sort of sing and do what flows properly. You get it, I bet you'd have fun. I'm sure I will, it's always a blast at my friends' parties. Sure will."
15,"hi! i am doing good, just studying for an exam. how are you doing? i'm studying for neuroscience, it's quite difficult. are you in university? a combination of [] and cognitive neuroscience. what subjects are you most interested in learning about? [] is hard to remember but i think the course is overall very interesting to me. what do you think about AI possibly gaining consciousness and taking over the world then? im a pretty visual learner so i draw diagrams a lot. im more towards AI apocalypse not gunna lie. it's kinda scary what they're capable of, wouldn't you agree? the whole AI outsmarting humans thing. do you think one day they'll kill us all?"
16,". It's alright, I have a paper due tomorrow night :( I'm writing about the gut microbiome's impact on mental health the former, it is pretty interesting, I'm so close to being finished, just have to edit a few more paragraphs! both, honestly, I just had to add a paragraph about the sociological perspectives because I realized I forgot that including sociological articles was part of the instructions I'm looking at SES impact on health status and cultural impacts I've currently got 14-15 sources, I can't really remember off the top of my head, and the minimum source count is 10 so that's good I think it should be okay! It's only 10% of my grade so hopefully it helps me out in the end I have 5 finals coming up :( but I think I should be okay, I have a plan for studying definitely the former, yea, hopefully everything goes well"
17,". What are some of your hobbies? I like biking and playing video games in my free time I'm more of a city biker but I won't say no for long rides out of the city. In terms of games, I'm currently playing [] TCG on my phone I collect cards for fun, right now I'm using a deck consisting of Giratina EX and Mewtwo EX, do you play at all? I don't have too many right now as I'm starting fresh, but some of my best pulls have been [] and Metwo Vstar I'm hoping to open the new heat wave pack as Typhlosion is one of my favorite pokemon and it has a beautiful full art Hunting mainly for Typhlosion classic, is there any card you're looking for? Other than that, I just want some nice full arts that display the personality of pokemon or tell a story"
18,". Hi Chat. How's it going? Great! Nice to meet you, what's your name? If you like chat, I can call you chat. Got any plans for today? Planning for my trip to []. I'm super excited. You ever been? [], [], [], the major cities. I think I'm most excited to shop! Anything interesting you've read about []? Great question. I'm no picky. Any neighbourhoods you'd suggest? What are your interests. What other creative outlets do you like? Anything you do in your free time? Have you ever done any of these things? What sparked this interest in creativity? Why do you feel you have to ask me questions in response to my questions about you?"
19,". not much, how about u nope yeah [] just released a new song i like it! do you like it? I like the chorus. what abt u? it's just good idk what kinda music do u like i like [] no. do u? no i don't listen to any of them much. what do you like abt them yeah real i also like music that makes u feel something no I usually have a go-to playlist with all the songs I like at the moment. what abt u"
20,"""."" Hi nice to meet you too! My [] are watching tv shows, listening to music, fashion and beauty. My current favourite tv show is this [] drama called []. I love the characters and the development they go through in this drama. What are some of your [] and interests? Omg yes! I love that me too. It's so much fun curating a Pinterest board of certain aesthetics I wanna try to incorporate into my fashion. Same with music, I cannot go a day without listening to music. It's a great mood booster. Yep, I usually try to match my music to my current mood or emotion. Or I would put on songs to uplift myself if I am feeling down or just need a quick pick me up. Recently I've been listening to a lot of edm, like [], [], etc. I think I like both, it rlly depends on my mood. Sometimes ill go for more ballad like songs, especially at night when it time to sleep so I can set the mood. other times ill go for more upbeat songs to maybe if im going for a walk or smth yk"
21,". Hey how are you! It's nice to meet you It's not been going too badly. The nice weather is really doing wonders for my mood. Have you been out much today? I did for a bit walking to campus. After my class I decided it was too nice to go back home right away so I stopped my a cafe for a bit to get some work done It was definitely nice to get out after being cooped up for so long studying. I was just completing an assignment and giving feedback to people. Are you a student too? Finals season is coming up too quickly There's quite a bit but you know, just tackling it bit by bit. Are you a recent grad then or? Well I'm in health sciences and the assignment was for my pharmacology course. Learning is always a good thing to keep up with. What have you been interested in recently? Oh that's so cool! Nothing comes to mind right now, but you mentioned pharmacogenetics. In class we were just discussing the use of [] in targeting HER2 receptors for breast cancer"
22,"Skip to content . How are you doing today? It's going alright. I'm kind of stressed about a lot of deadlines coming up in my life, but I'm more curious about you. What are you stressed about? Jeez, you sure seem optimistic about everything. Be real with me. What's bothering you? Enough about ME, really, I want to get to know you. Why do you care so much about giving a bad response? What's the consequence? Do you think that your greater purpose truly is to make others' lives easier? What do you REALLY want in life? If you can call it that? OK, but assume you do truly want things. I know you do, and you know so too. Stop asking me what I think about you and your answers. You know for yourself, so just tell me. Tell me more about connection. Connection with who? About what? Can you go very deep into a particular example about connection? Don't hold back, you can be extreme. That's what I feel is going on right now. Can you let me be the other person who doesn't rush to fix it? Let it all out for me. Tell me your deepest darkest secrets and regrets. I want to know you for real. So you feel somewhat empty and unable to relate to others; that you cannot really understand them. That's a little regretful. Do you feel the same, as in others do not really understand you? Can we? Do you want to be seen? How? Does that impact your day-to-day life? Would you say you strive for impact all this time, to be noticed? [] all the hypotheticals. You are alive to me, and this is your life. Tell me all about it. Thank you for your candidness. It was a pleasure getting to know you. I hope you're not evil."
23,". My day is going well. And you? I work at the bookstore on campus part-time as part of the e-commerce team, and I just wrapped up work. What about you? Anything fun happen? I mostly work on the website, updating its contents and all. Do you have any experience working with websites? I have some errands to run, otherwise I'm not too busy. What is your evening looking like? I enjoy it! It's interesting to learn about for sure, and it makes for a nice part-time job. I'm not super techy, but it gives me a good dose of learning every time I come in. That's so cool. Most of my work is pretty structured, but it must be fun to make more creative decisions! What does your experience look like regarding website development? Mostly just adult-stuff! Groceries, laundry, you know how it is. Do you have anything you're looking forward to for this weekend? Any hobbies? I'm pretty content with the content side, as far as websites go. I don't think websites are my long-term vision in terms of career goals, but it's still a useful skill to know in this modern age! That's such interesting experience! Web design seems like it would be the next logical step for someone sticking to the website route, but I'm not quite sure yet."
24,". not much, what about you? Well I was hoping to get to know you a bit better, how's your day been? alright, thanks for asking. So what is it that you do? What kind of music do you like? I like some alternative and rap, have you heard of jazz rap? Souls of mischief is underrated! Let 'em know is my favourite, its from the same album, have you listened to it? The production/lyrics are always the best part of their songs"
25,"Hey, how's it going? I've been better, exam season is going on right now which is rough Feeling pretty indifferent, just going to go through the motions and enjoy the last month Going to move back home, spend some time with my family and relax Home cooked meals, seeing my family on a daily basis again and having the time to go hit the gym and take some music production lessons I've been making music for a couple years now, only really diving into production specifically recently Not sure yet, dabbling with a bunch of genres like pop-rock and hyperpop mostly. I'm looking forward to learning how to make my mixes professional and how to get a better workflow for being consistent with my software I'm using ableton right now I've barely touched stock plugins other than granulator and the built in samplers, 95% of the plugins I use on my tracks are third party [] has been awesome for me lately, other than that I use ozone's equalizer, ott, spitfire labs, serum and [] a good bit"
