pid,topic_0,topic_1,topic_2,topic_3,topic_4,topic_5,topic_6,topic_7,topic_8,topic_9
0,0.9985194510719807,6.288331598043107e-05,5.576394418760409e-20,6.60674551005788e-20,3.0320922884353374e-27,6.332467072373194e-26,2.008751599401651e-18,3.930977984520439e-33,5.087486563977835e-17,0.0014176654045477406
1,3.1907124611108417e-21,6.266584990335261e-32,0.9999999997735481,3.7318577132345956e-43,5.771193380033628e-19,5.179661857746455e-33,1.3283089385817645e-41,1.1299554831085127e-30,4.337285442703268e-29,5.421703997985551e-38
2,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
3,4.287008476592228e-37,1.1922676823849678e-35,1.4792757308267897e-55,0.9999999997519238,2.813050827051038e-34,9.671793495801033e-41,8.704956716714755e-39,4.108895808459224e-52,6.535809059523491e-30,7.253281067545717e-42
4,4.5401568553615645e-42,0.9999999997676271,3.527463663338789e-43,2.9033884010269915e-75,5.584362120306588e-48,5.639269417976154e-41,2.2045068116122547e-60,2.688393841478971e-45,7.967743187630347e-55,3.3626231458067454e-46
5,0.9999999996973781,3.6637373788987066e-48,7.2076824303905e-34,4.158436895838977e-47,1.3647182507775954e-19,1.179675430066825e-33,3.8618713009505925e-37,7.951641593072256e-33,5.795144156737431e-25,1.0449786265317125e-34
6,2.383806252062349e-25,4.158833330549197e-30,4.251082536355651e-33,1.5867268382746261e-10,0.25935309975941834,3.6791041680061284e-17,1.6444966997193665e-35,3.038635752618219e-14,9.774114090299416e-32,0.7406468998702865
7,1.932369315764432e-17,4.556497090958644e-33,3.489060760379524e-28,0.9999999998272814,2.9287713238150514e-34,8.243854952079485e-21,6.46320954194808e-18,2.7000623120822127e-31,1.0125266979472127e-18,1.5528513210779886e-37
8,2.6021179878629957e-46,1.4054864518993031e-42,3.078526657104479e-59,7.698057573497448e-21,0.9999999996992253,9.571208925639059e-42,2.8877692111170348e-70,1.299300742101936e-34,1.3562663584397439e-93,4.789218221578377e-47
9,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
